title,date_str,siteName,sentiment,pageUrl,author
Ukraine Organizes Peace Meeting in Denmark,d2023-06-24T10:46,KyivPost,0.0,https://www.kyivpost.com/post/18648,AFP
OPINION: Yermak Critic Spartz Passionate About FBI Collusion and Russian Disinformation,d2023-06-24T09:41,KyivPost,-0.268,https://www.kyivpost.com/post/18626,Lada Roslycky
"ISW Russian Offensive Campaign Assessment, June 23, 2023",d2023-06-24T08:28,KyivPost,-0.39,https://www.kyivpost.com/post/18634,Kyiv Post
Ukraine De-Mining Like Clearing Europe After WWII: UN,d2023-06-22T08:18,KyivPost,-0.169,https://www.kyivpost.com/post/18531,AFP
OPINION: African Leaders Indulge in Chinese Whispers,d2023-06-21T11:00,KyivPost,0.0,https://www.kyivpost.com/post/18489,Stepan Stepanenko
OPINION: Russia Has to Pay,d2023-06-20T10:48,KyivPost,-0.188,https://www.kyivpost.com/opinion/18453,Timothy Ash
General Valery Zaluzhny – the Man Behind the Legend,d2023-06-18T12:25,KyivPost,0.0,https://www.kyivpost.com/post/18398,Steve Brown
UK's Sunak to Urge Investors to Support Ukraine Reconstruction,d2023-06-18T11:26,KyivPost,0.402,https://www.kyivpost.com/post/18392,AFP
South Africa Spokesperson Vincent Magwenya Slammed Over Kyiv Air Raid Denials,d2023-06-17T10:44,KyivPost,-0.316,https://www.kyivpost.com/post/18368,Chris York
EXPLAINED: Why Today’s African Peace Mission to Kyiv Is Already Doomed to Fail,d2023-06-16T09:36,KyivPost,0.0,https://www.kyivpost.com/post/18331,Kyiv Post
"Destruction of Kakhovka Dam Threatens Water Supply in Four Regions, Including Occupied Crimea, Ukrhydroenergo CEO Warns",d2023-06-15T10:50,KyivPost,-0.34,https://www.kyivpost.com/post/18240,Kyiv Post
OPINION: Britain and the UN Play Catch-Up With New Sanctions on Belarus,d2023-06-13T16:06,KyivPost,-0.394,https://www.kyivpost.com/opinion/18236,Stepan Stepanenko
Joe Biden Root Canal Scuppers Big NATO Meeting,d2023-06-13T10:11,KyivPost,-0.18,https://www.kyivpost.com/post/18210,AFP
OPINION: Serhiy Rebrov Takes Charge of Ukraine’s National Football Team,d2023-06-12T16:07,KyivPost,0.565,https://www.kyivpost.com/post/18197,David Kirichenko
Canadian Arms for Ukraine Strengthened,d2023-06-12T12:36,KyivPost,0.192,https://www.kyivpost.com/post/18177,Pete Shmigel
OPINION: A Message to the African Peace Mission to Ukraine,d2023-06-12T11:15,KyivPost,-0.198,https://www.kyivpost.com/post/18170,Oleksandr Merezhko
Logistical ‘Hubs’ for Ukraine’s Planes on Ramstein Agenda,d2023-06-12T09:55,KyivPost,0.0,https://www.kyivpost.com/post/18161,Pete Shmigel
Large-scale Misappropriation of Hostomel Recovery Funds – Investigation,d2023-06-11T20:47,KyivPost,-0.411,https://www.kyivpost.com/post/18155,Kyiv Post
Canadian PM Justin Trudeau Visits Kyiv,d2023-06-10T15:46,KyivPost,0.0,https://www.kyivpost.com/post/18120,AFP
WATCH: Ukrainian Photographers Reveal Devastating Aftermath of Kakhovka Dam Explosion,d2023-06-07T15:00,KyivPost,-0.33,https://www.kyivpost.com/post/17987,Kyiv Post
Russia’s invasion of Ukraine (March 2 live updates),d2023-06-07T12:57,KyivPost,0.0,http://www.kyivpost.com/content/ukraine/russias-invasion-of-crimea-live-updates-338096.html,Kyiv Post
"Pence For President: Former Veep’s Views on Putin, Russia and Its War on Ukraine",d2023-06-07T11:40,KyivPost,0.0,https://www.kyivpost.com/post/17978,Pete Shmigel
EXPLAINED: Did Ukrainians Blow Up Nord Stream?,d2023-06-07T09:34,KyivPost,-0.352,https://www.kyivpost.com/post/17971,Stash Luczkiw
"Kyiv Post Morning Memo – Everything You Need to Know on Wednesday, June 7",d2023-06-07T09:30,KyivPost,-0.254,https://www.kyivpost.com/post/17970,Kyiv Post
Happy Ukrainian Journalist's Day from the Kyiv Post Team,d2023-06-06T16:59,KyivPost,0.829,https://www.kyivpost.com/post/17951,Kyiv Post
Journalists' Day in Ukraine: Reflections on How Russia’s War Transformed the Profession,d2023-06-06T16:55,KyivPost,0.667,https://www.kyivpost.com/post/17950,Alisa Orlova
OPINION: War in Ukraine Stretching Some Nations’ Neutrality to the Limit,d2023-06-04T12:13,KyivPost,-0.186,https://www.kyivpost.com/opinion/17848,Steve Brown
Saudi-Russian discord clouds OPEC+ talks,d2023-06-04T09:33,KyivPost,-0.414,https://www.kyivpost.com/post/17862,AFP
Zelensky Responds to Donald Trump’s Plan to Stop War ‘in 24 Hours’,d2023-06-03T14:12,KyivPost,-0.179,https://www.kyivpost.com/post/17849,Kyiv Post
Zelensky Says Ukraine is ‘Ready’ for Counteroffensive But Currently Faces a Difficult Choice,d2023-06-03T10:51,KyivPost,0.0,https://www.kyivpost.com/post/17842,Kyiv Post
Macron Confesses: France Should Have Paid More Attention to Russian Belligerence Before Invasion of Ukraine,d2023-06-02T08:27,KyivPost,0.0,https://www.kyivpost.com/post/17781,Steve Brown
Zakarpattia Bans Russian-Backed Orthodox Church,d2023-06-02T08:17,KyivPost,-0.174,https://www.kyivpost.com/post/17780,Kyiv Post
OPINION: Are Social Media Platforms Removing Evidence of War Crimes?,d2023-06-01T14:04,KyivPost,-0.401,https://www.kyivpost.com/opinion/17764,Steve Brown
EXPLAINED: Is the US OK With Ukraine Striking Russia or Not?,d2023-06-01T10:08,KyivPost,-0.178,https://www.kyivpost.com/post/17754,Chris York
Swiatek Says Ukraine War has Caused 'Chaos' in Sport,d2023-05-31T10:43,KyivPost,-0.665,https://www.kyivpost.com/post/17713,AFP
Poland Adopts Contested Inquiry Into Russian Influence,d2023-05-31T09:29,KyivPost,-0.42,https://www.kyivpost.com/post/17678,AFP
"The Bucha Volunteers – Like ‘Dad’s Army,’ Only with Serious Combat Experience",d2023-05-30T00:00,KyivPost,0.0,https://www.kyivpost.com/post/17697,Stefan Korshak
OPINION: Tensions Between Olympic Committee and Ukraine’s Supporters Peaking,d2023-05-28T15:10,KyivPost,0.0,https://www.kyivpost.com/opinion/17616,Mark Temnycky
"Kyiv Post Morning Memo – Everything You Need to Know on Thursday, May 25",d2023-05-25T08:43,KyivPost,0.0,https://www.kyivpost.com/post/17470,Kyiv Post
British and Ukrainian Defense Ministers Meet in Kyiv,d2023-05-24T12:35,KyivPost,0.697,https://www.kyivpost.com/post/17444,Kyiv Post
OPINION: Missiles Over Kyiv,d2023-05-18T12:06,KyivPost,-0.459,https://www.kyivpost.com/opinion/17212,Timothy Snyder
Italian Expert’s View of Impact of Turkish Elections on Russia’s War Against Ukraine,d2023-05-18T10:55,KyivPost,-0.467,https://www.kyivpost.com/post/17206,Ugo Poletti
Zelensky’s ‘Jet Coalition’ Is Growing,d2023-05-17T09:48,KyivPost,0.0,https://www.kyivpost.com/post/17149,Pete Shmigel
Europe’s Leaders Commit to ‘Register of Damages’ From Russia’s War on Ukraine,d2023-05-17T09:18,KyivPost,0.0,https://www.kyivpost.com/post/17145,Pete Shmigel
"Ukraine’s Latest Statement at the U.N. Security Council, May 15, 2023.",d2023-05-16T15:57,KyivPost,-0.276,https://www.kyivpost.com/post/17133,Kyiv Post
"AFP, Friends Pay Tribute in Kyiv to Slain Reporter Arman Soldin",d2023-05-16T13:46,KyivPost,0.0,https://www.kyivpost.com/post/17122,AFP
Zelensky’s European Tour Secures More Support – Both Weapons and Words,d2023-05-15T09:15,KyivPost,0.18,https://www.kyivpost.com/post/17051,Pete Shmigel
Zelensky Summit Tour Continues in London,d2023-05-15T00:00,KyivPost,0.0,https://www.kyivpost.com/post/17071,Pete Shmigel
OPINION: Last Year I Went Home to Chernihiv After the Russian Siege – This is What it Looked Like,d2023-05-13T12:40,KyivPost,-0.268,https://www.kyivpost.com/opinion/16894,Julia Struck
Biden Thanks Spain for Ukraine Support,d2023-05-13T10:47,KyivPost,0.184,https://www.kyivpost.com/post/17002,AFP
OPINION: Ukrainian Special Operations Forces (UASOF) – They’re Coming for You,d2023-05-13T09:39,KyivPost,0.251,https://www.kyivpost.com/opinion/16982,Steve Brown
‘I Could Die Too’: Ukraine’s War Widows Fighting on the Front Line,d2023-05-12T09:55,KyivPost,-0.231,https://www.kyivpost.com/post/16946,AFP
"EXPLAINED: Donald Trump Refuses to Back Ukraine, Claims He Can Bring Peace ‘In 24 Hours’",d2023-05-11T00:00,KyivPost,-0.171,https://www.kyivpost.com/post/16897,Chris York
"Over $8bn of Russian Central Bank Assets Held in Switzerland, Says Bern",d2023-05-10T14:45,KyivPost,0.0,https://www.kyivpost.com/post/16871,AFP
"Ukraine Grain Shipments Via Black Sea Down 46 percent in May, Kyiv Post Finds",d2023-05-10T14:01,KyivPost,0.0,https://www.kyivpost.com/post/16868,Pete Shmigel
OPINION: Commemorating Europe Day,d2023-05-10T09:58,KyivPost,0.0,https://www.kyivpost.com/post/16845,Mark Temnycky
OPINION: Russia’s War is Awakening Ukraine’s Historical Trauma,d2023-05-09T14:24,KyivPost,-0.201,https://www.kyivpost.com/opinion/16788,David Kirichenko
Activists Block Russian Ambassador at Soviet Memorial in Warsaw,d2023-05-09T14:08,KyivPost,-0.587,https://www.kyivpost.com/post/16823,AFP
‘There Are Farmers in Ukraine With More Tanks’: Putin’s Red Square Parade Gets Roasted,d2023-05-09T00:00,KyivPost,-0.222,https://www.kyivpost.com/post/16822,Stefan Korshak
EXPLAINED: The Latest on Wagner’s Ever-Changing Situation in Bakhmut,d2023-05-09T00:00,KyivPost,-0.285,https://www.kyivpost.com/post/16797,Kyiv Post
"Kyiv Attacked Overnight by 35 Kamikaze Drones, Capital Rocked by Explosions as Air Defenses Intercept",d2023-05-08T00:00,KyivPost,-0.467,https://www.kyivpost.com/post/16752,Kyiv Post
OPINION: Pushing Back Against Putin’s Disinformation Wars,d2023-05-07T16:20,KyivPost,0.0,https://www.kyivpost.com/opinion/16653,Gordon Feller
‘We Had Trouble Taking an Axe Out of a Man’s Hand’: The Life of a Medic in Bakhmut,d2023-05-07T14:39,KyivPost,-0.324,https://www.kyivpost.com/post/16745,AFP
Anti-Ukraine Sentiment Simmers in Florida,d2023-05-06T09:54,KyivPost,0.0,https://www.kyivpost.com/post/16694,John Moretti
35 Countries Question IOC Decision on the Admission of Russia to Sports Competitions,d2023-05-05T16:15,KyivPost,0.0,https://www.kyivpost.com/post/16661,Kyiv Post
A Short History of King Charles’ Support for Ukraine,d2023-05-05T10:30:01,KyivPost,0.0,https://www.kyivpost.com/post/16649,Kyiv Post
ICU Weekly Insight - 2 May 2023,d2023-05-03T18:14,KyivPost,0.0,https://www.kyivpost.com/post/16574,ICU
Use of Ukrainian Language Grows Since the Full-Scale Invasion,d2023-05-03T00:00,KyivPost,0.0,https://www.kyivpost.com/post/16494,Pete Shmigel
"As ATO ends, Joint Forces Operation launched in Donbas",d2023-05-01T12:19,KyivPost,-0.155,https://www.kyivpost.com/ukraine-politics/ato-ends-joint-forces-operation-launched-donbas.html,Illia Ponomarenko
Ukrainian Fencers Training for Paris Games Ready to Boycott Olympics,d2023-04-30T16:27,KyivPost,-0.412,https://www.kyivpost.com/post/16447,AFP
Poland Streamlines Process to Export Drones to Ukraine,d2023-04-30T16:06,KyivPost,0.0,https://www.kyivpost.com/post/16436,Anna Neplii
Putin’s Friend Launches ‘Another Ukraine’ Movement in Russia With Propagandists and Accused Traitors,d2023-04-28T09:21,KyivPost,-0.341,https://www.kyivpost.com/post/16359,Kyiv Post
French Transport Minister Says Ukraine Working Towards Partially Opening Airspace for Civil Flights,d2023-04-27T14:22,KyivPost,0.195,https://www.kyivpost.com/post/16339,Kyiv Post
5 Things You Need to Know About Zelensky’s Call with China’s President Xi,d2023-04-26T17:17,KyivPost,-0.217,https://www.kyivpost.com/post/16311,Kyiv Post
Chornobyl: A Legacy of Human Error and the Lessons That Were Never Learned (by Russians),d2023-04-26T15:17,KyivPost,-0.52,https://www.kyivpost.com/post/16302,Alisa Orlova
Zelensky and Chinese President Xi Hold First Talks Since Launch of Full-Scale Invasion,d2023-04-26T00:00,KyivPost,0.0,https://www.kyivpost.com/post/16301,Kyiv Post
"Kyiv Post Morning Memo – Everything You Need to Know on Tuesday, April 25",d2023-04-25T10:02,KyivPost,-0.158,https://www.kyivpost.com/post/16238,Kyiv Post
‘We’re Tired’: The Exhausted Ukrainian Soldiers Still Holding Out in Devastated Bakhmut,d2023-04-25T09:48,KyivPost,-0.325,https://www.kyivpost.com/post/16237,AFP
EXPLAINED: The ‘Cynical’ Hypocrisy of Russia’s UN Security Council Meeting,d2023-04-25T09:24,KyivPost,-0.328,https://www.kyivpost.com/post/16235,Chris York
President Zelensky Explains Ukraine's Stance on Bakhmut,d2023-04-24T17:40,KyivPost,-0.31,https://www.kyivpost.com/post/16229,Kyiv Post
"Ukraine Reportedly Postponed Planned Attacks on Russia at US Request, Leaked Documents Reveal",d2023-04-24T16:00,KyivPost,-0.632,https://www.kyivpost.com/post/16227,Kyiv Post
Former Swedish Lawmaker Signs Contract to Serve with Ukrainian Armed Forces,d2023-04-24T14:09,KyivPost,0.0,https://www.kyivpost.com/post/16214,Kyiv Post
Georgia Refused to Provide Military Aid to Ukraine and Now Repairs Russian Warplanes,d2023-04-24T10:48,KyivPost,-0.229,https://www.kyivpost.com/post/16195,Kyiv Post
Modern Diplomacy in the Language of Ancient Symbols,d2023-04-22T12:18,KyivPost,0.542,https://www.kyivpost.com/post/16159,Kyiv Post
Another Russian-linked Monastery Is Targeted for Eviction,d2023-04-22T09:37,KyivPost,-0.342,https://www.kyivpost.com/post/16071,Julia Struck
OPINION: How European Football Is Aiding Ukraine,d2023-04-22T09:35,KyivPost,0.319,https://www.kyivpost.com/opinion/16072,Mark Temnycky
From Maidan to the Frontline: The Tale of Two Activists,d2023-04-22T09:30,KyivPost,0.195,https://www.kyivpost.com/post/16112,Pete Shmigel
The HIMARS Success Story Continues,d2023-04-20T17:30,KyivPost,0.577,https://www.kyivpost.com/post/16086,Kyiv Post
Ukrainian Designers Showcased at Milan Design Week,d2023-04-19T16:25,KyivPost,0.37,https://www.kyivpost.com/post/16034,Ugo Poletti
EXPLAINED: Why South Korea’s New Stance on Ukraine is So Significant,d2023-04-19T10:09,KyivPost,-0.329,https://www.kyivpost.com/post/16004,Chris York
'Serbia Has Never Been Against Ukraine' – Former Ambassador,d2023-04-18T16:14,KyivPost,-0.367,https://www.kyivpost.com/post/15973,Julia Struck
Pro-Russia Propagandist Revealed as Former US Servicewoman,d2023-04-18T09:57,KyivPost,-0.307,https://www.kyivpost.com/post/15958,Kyiv Post
Poland Bans Ukrainian Grain,d2023-04-15T20:23,KyivPost,-0.242,https://www.kyivpost.com/post/15881,Kyiv Post
German FM Urges China to 'Call on the Aggressor Russia to Stop the War',d2023-04-14T17:36,KyivPost,0.0,https://www.kyivpost.com/post/15832,AFP
IMF Raises Russian Growth Forecast on Deficit-Fueled Government Spending,d2023-04-12T13:45,KyivPost,0.0,https://www.kyivpost.com/post/15722,AFP
"Limited Air Traffic to Ukraine Until 2029, Eurocontrol Predicts in Forecast",d2023-04-11T14:44,KyivPost,-0.353,https://www.kyivpost.com/post/15687,Kyiv Post
Biden ‘Plans on Running’ For President Again: The Ukraine Angle,d2023-04-11T09:28,KyivPost,0.0,https://www.kyivpost.com/post/15666,Mark Raczkiewycz
NATO to Hold Largest-ever Air War Games While Real War Rages in Ukraine’s Skies,d2023-04-10T21:07,KyivPost,0.0,https://www.kyivpost.com/post/15659,Christopher Stewart
OPINION: What Will Happen to the Weapons Provided to Ukraine When Russia is Defeated?,d2023-04-10T09:52,KyivPost,-0.343,https://www.kyivpost.com/opinion/15606?utm_source=Kyiv%2BPost%27s%2BUkraine%2BDigest&utm_campaign=cc7d397116-EMAIL_CAMPAIGN_2023_04_10_10_45&utm_medium=email&utm_term=0_-cc7d397116-%5BLIST_EMAIL_ID%5D,Steve Brown
Pro-Kyiv Church Will Hold Unprecedented Palm Sunday Service at the Pechersk Lavra,d2023-04-08T13:09,KyivPost,0.295,https://www.kyivpost.com/post/15554,Julia Struck
"EXCLUSIVE: In Borodyanka, Ukraine’s Schools Are ‘Building Back Better’",d2023-04-08T09:53,KyivPost,0.0,https://www.kyivpost.com/post/15464,Pete Shmigel
April 8 is the 50th Anniversary of Pablo Picasso’s Death,d2023-04-07T16:31,KyivPost,0.338,https://www.kyivpost.com/post/15548,Pete Shmigel
"Ukrainian President Honors Mayors of Four Polish ""Rescue Cities""",d2023-04-07T14:01,KyivPost,0.45,https://www.kyivpost.com/post/15541,Kyiv Post
Macron Says 'Counting' on Xi to 'Bring Russia to Its Senses',d2023-04-06T17:45,KyivPost,0.0,https://www.kyivpost.com/post/15519,AFP
Maria Lvova-Belova Ignores ICC Arrest Warrant to Give Speech at the UN Security Council,d2023-04-06T14:36,KyivPost,-0.366,https://www.kyivpost.com/post/15497,Kyiv Post
Kyiv Post Daily Thread – The Latest News From and About Ukraine on April 6,d2023-04-06T12:00,KyivPost,0.0,https://www.kyivpost.com/thread/15474,Kyiv Post
Fencing in Turmoil After Poles Cancel World Cup Event Over Russia,d2023-04-06T11:18,KyivPost,-0.366,https://www.kyivpost.com/post/15473,AFP
"Macron, von der Leyen to Press China's Xi on Ukraine",d2023-04-06T10:59,KyivPost,0.0,https://www.kyivpost.com/post/15465,AFP
EXPLAINED: Why Poland Is So Important,d2023-04-06T10:04,KyivPost,0.0,https://www.kyivpost.com/post/15466?utm_source=Kyiv%2BPost%27s%2BUkraine%2BDigest&utm_campaign=653bd41543-EMAIL_CAMPAIGN_2023_04_06_12_23&utm_medium=email&utm_term=0_-653bd41543-%5BLIST_EMAIL_ID%5D,Kyiv Post
"From Symbolism to Substance, More Polish Support For Ukraine During Warsaw Visit",d2023-04-05T20:42,KyivPost,0.0,https://www.kyivpost.com/post/15461,Pete Shmigel
"Invasion Damages $2.6 bn Worth of Ukraine's Heritage, Culture",d2023-04-05T12:27,KyivPost,-0.183,https://www.kyivpost.com/post/15320,AFP
Ukraine’s 'Combat Beaver' to Get Wikipedia Page Devoted to its 'Decisive Victory' in Trench Battle,d2023-04-04T13:20,KyivPost,-0.235,https://www.kyivpost.com/post/15360,Kyiv Post
Praying for Victory: Ukraine Muslims Mark Ramadan,d2023-04-04T11:17,KyivPost,-0.295,https://www.kyivpost.com/post/15335,AFP
Ukraine War 'Madness' Threatening Humanity: UN Rights Chief,d2023-04-02T13:49,KyivPost,-0.38,https://www.kyivpost.com/post/15212,AFP
UN Security Council Concerned Over Russian Nuclear Weapons in Belarus,d2023-04-01T11:17,KyivPost,-0.538,https://www.kyivpost.com/post/15225,AFP
27 EU Ambassadors Visit the Kyiv Region a Year After it Was Liberated,d2023-03-31T14:30,KyivPost,0.321,https://www.kyivpost.com/post/15200,Kyiv Post
"Biden Vows Funds, Tech Alliance as Democracy Summit Takes on Backsliding",d2023-03-29T16:51,KyivPost,0.0,https://www.kyivpost.com/post/15088,AFP
New Poll Shows More Than 90% of Ukrainians Are Confident in Victory; 83% Think Ukraine Should Join NATO,d2023-03-29T12:27,KyivPost,0.189,https://www.kyivpost.com/post/15062?utm_source=newsletter&utm_medium=email&utm_campaign=newsletter_axiosworld&stream=world,Aleksandra Klitina
US Army Issues Playing Cards to Distinguish NATO Weapons From Russia's,d2023-03-29T11:30,KyivPost,-0.193,https://www.kyivpost.com/post/15054,Kyiv Post
Motor Sich President Blocked Helicopter Supply to Ukrainian Defense Intelligence,d2023-03-28T18:05,KyivPost,-0.316,https://www.kyivpost.com/post/15027,Kyiv Post
Survey: Ukrainians’ Interest in Their History Spikes Amid Russia’s Ongoing War,d2023-03-27T18:15,KyivPost,0.0,https://www.kyivpost.com/post/14950,Kyiv Post
Grain Deal Bribes Uncovered in Odesa,d2023-03-27T17:24,KyivPost,-0.358,https://www.kyivpost.com/post/14973,Kyiv Post
EXPLAINED: Heavy Tanks Have Finally Arrived in Ukraine – Here’s What You Need to Know,d2023-03-27T00:00,KyivPost,0.0,https://www.kyivpost.com/post/14979,Kyiv Post
Clearing Ukraine of Leftover Explosives: the Five Pillars of Mine Action,d2023-03-26T12:00,KyivPost,0.0,https://www.kyivpost.com/post/14563,Steve Brown
"As Winter Ends, a Garden Takes Shape Near Ukraine Frontline",d2023-03-26T10:04,KyivPost,0.0,https://www.kyivpost.com/post/14874,AFP
"Love, Pain and Loss at Historic Ukraine Cemetery",d2023-03-25T18:00,KyivPost,0.0,https://www.kyivpost.com/post/14862,AFP
Kyiv Post Daily Thread – The Latest News From and About Ukraine on March 24,d2023-03-24T15:00,KyivPost,-0.225,https://www.kyivpost.com/thread/14784,Kyiv Post
EXPLAINED: What to Expect From Today’s Meeting Between Putin and China’s Xi Jinping,d2023-03-20T09:34,KyivPost,0.0,https://www.kyivpost.com/post/14527,Kyiv Post
Odesa Ports: Strategic Priority for Ukraine’s Economic Recovery,d2023-03-19T09:55,KyivPost,0.254,https://www.kyivpost.com/post/14512,Ugo Poletti
